mic,temperature,humidity,status
450,32,73,1
165,31,11,0
809,36,83,0
412,40,27,0
415,35,75,1
552,35,25,0
174,26,53,0
720,11,97,0
390,37,63,1
226,38,51,0
497,38,97,1
335,25,51,1
742,39,35,0
133,40,19,0
512,33,84,1
427,28,63,1
596,34,41,0
777,19,60,0
114,34,93,0
430,21,60,1
244,24,50,0
273,26,51,0
512,25,45,1
629,32,37,0
490,21,81,1
251,36,55,0
508,28,88,1
351,38,30,1
352,20,51,1
382,35,59,1
322,30,51,1
268,50,84,0
414,20,31,1
451,30,15,0
450,37,35,1
170,22,97,0
412,35,37,1
340,26,35,1
668,11,80,0
764,33,30,0
783,37,26,0
556,38,20,0
398,36,75,1
599,15,49,0
280,23,98,1
520,25,93,1
471,37,71,1
308,23,26,0
107,37,55,0
329,29,39,1
384,34,31,1
265,29,26,0
843,34,100,0
757,31,80,0
815,14,64,0
401,28,75,1
734,20,86,0
399,39,56,1
457,12,81,0
493,22,74,1
376,35,61,1
499,36,55,1
511,31,50,1
879,37,78,0
283,22,87,1
460,18,86,0
780,11,68,0
736,21,63,0
783,27,39,0
293,38,96,1
727,19,66,0
476,31,44,1
426,34,65,1
310,27,40,1
797,24,62,0
139,24,24,0
237,28,20,0
404,22,63,1
567,22,56,0
473,29,61,1
702,41,37,0
223,27,99,0
368,30,25,0
236,24,47,0
531,22,40,0
329,36,76,1
510,29,42,1
305,28,81,1
479,40,48,1
132,33,27,0
596,40,36,0
696,24,95,0
516,25,67,1
443,49,65,0
461,35,94,1
164,37,26,0
435,27,46,1
328,40,64,1
183,20,68,0
304,36,35,1
356,35,77,1
762,25,50,0
291,40,20,0
419,33,91,1
431,28,57,1
384,25,100,1
759,25,17,0
386,33,55,1
486,30,69,1
439,23,87,1
402,20,38,1
463,21,68,1
756,48,65,0
611,20,79,0
304,30,33,1
170,18,54,0
119,36,62,0
109,28,49,0
645,29,88,0
360,25,42,1
374,47,39,0
522,40,27,0
563,46,32,0
164,39,41,0
457,22,76,1
551,24,93,0
355,28,34,1
464,37,18,0
295,27,78,1
148,17,100,0
124,45,86,0
279,12,30,0
477,27,75,1
571,38,19,0
484,37,55,1
489,33,99,1
488,20,59,1
509,30,72,1
876,28,72,0
443,34,24,0
390,34,70,1
296,30,70,1
776,46,63,0
322,24,16,0
421,21,57,1
401,25,33,1
174,47,68,0
470,38,57,1
670,43,63,0
436,37,69,1
600,40,82,0
515,32,93,1
340,30,83,1
759,31,59,0
409,39,95,1
439,41,72,0
455,28,50,1
867,37,28,0
324,26,95,1
565,35,39,0
336,38,46,1
456,30,96,1
446,20,87,1
746,26,56,0
482,22,55,1
886,35,64,0
675,14,38,0
501,31,95,1
327,33,33,1
383,41,89,0
228,42,30,0
734,22,92,0
417,46,92,0
322,24,40,1
309,34,43,1
321,26,31,1
380,27,59,1
674,15,66,0
469,37,77,1
511,22,98,1
321,47,55,0
642,19,89,0
454,23,37,1
589,28,91,0
629,14,71,0
378,39,49,1
181,29,90,0
521,23,38,0
369,40,82,1
358,26,73,1
773,40,15,0
514,22,23,0
747,46,68,0
465,37,37,1
429,34,90,1
505,24,43,1
896,38,17,0
679,36,59,0
391,28,51,1
564,20,12,0
213,21,35,0
192,17,44,0
512,38,36,1
412,30,32,1
386,33,59,1
501,35,40,1
444,29,31,1
489,41,95,0
596,24,32,0
427,38,57,1
811,28,14,0
751,45,67,0
358,24,52,1
400,29,97,1
867,23,16,0
347,36,64,1
583,34,14,0
232,21,13,0
567,25,28,0
535,31,15,0
500,22,32,1
348,22,71,1
472,32,34,1
360,31,18,0
704,16,47,0
283,23,64,1
370,24,97,1
311,24,60,1
417,48,64,0
505,25,75,1
380,23,69,1
324,31,95,1
325,36,50,1
801,50,30,0
409,37,65,1
472,40,32,1
618,24,23,0
392,40,84,1
591,48,69,0
287,48,89,0
372,35,75,1
685,34,15,0
338,33,23,0
127,44,83,0
166,27,42,0
322,31,11,0
599,48,39,0
456,31,44,1
459,27,84,1
453,31,82,1
426,37,95,1
379,35,33,1
502,36,38,1
357,32,60,1
447,28,89,1
522,42,90,0
449,38,66,1
699,36,22,0
485,32,86,1
464,40,43,1
378,32,86,1
511,31,75,1
873,36,71,0
692,34,76,0
679,21,81,0
385,40,95,1
458,31,53,1
415,33,59,1
565,26,35,0
724,27,13,0
502,31,34,1
297,28,91,1
689,23,24,0
333,23,34,1
395,36,79,1
425,29,87,1
286,31,64,1
797,28,14,0
519,27,87,1
316,39,28,0
516,25,62,1
844,31,15,0
453,26,52,1
510,20,73,1
454,22,46,1
863,30,20,0
482,42,52,0
182,48,91,0
139,40,34,0
295,15,87,0
764,27,66,0
399,24,30,1
540,31,59,0
455,29,22,0
301,27,62,1
433,45,100,0
702,34,17,0
511,33,86,1
285,34,52,1
529,40,17,0
563,36,98,0
240,38,97,0
192,28,10,0
361,29,49,1
334,31,12,0
669,16,53,0
741,41,56,0
296,17,56,0
634,20,62,0
409,20,92,1
426,38,97,1
809,26,76,0
313,11,43,0
397,37,75,1
337,21,76,1
117,20,25,0
401,38,54,1
357,25,88,1
708,34,50,0
756,27,77,0
764,26,70,0
309,33,62,1
438,26,67,1
503,34,94,1
247,38,55,0
541,24,58,0
712,45,38,0
484,34,83,1
297,33,100,1
377,28,40,1
389,21,55,1
429,38,26,0
535,27,43,0
307,26,27,0
351,32,87,1
368,27,97,1
508,28,21,0
712,25,92,0
417,34,43,1
556,33,21,0
247,26,71,0
452,40,47,1
624,11,72,0
307,48,34,0
501,39,97,1
138,40,100,0
106,41,76,0
293,32,94,1
857,45,70,0
359,20,62,1
754,19,31,0
783,42,48,0
494,22,85,1
471,38,75,1
284,33,36,1
473,20,99,1
149,16,73,0
392,31,77,1
412,26,48,1
192,22,15,0
542,27,31,0
549,49,81,0
370,25,58,1
327,38,60,1
322,29,72,1
501,31,41,1
475,37,48,1
461,34,77,1
405,24,56,1
499,38,89,1
303,25,36,1
375,37,19,0
397,24,48,1
565,28,56,0
375,29,58,1
465,32,40,1
486,40,88,1
579,49,54,0
168,10,51,0
737,40,99,0
163,21,85,0
488,29,68,1
584,22,22,0
603,20,18,0
471,38,44,1
363,40,46,1
429,30,40,1
433,36,34,1
463,27,69,1
610,33,36,0
110,20,99,0
571,35,67,0
128,39,70,0
516,38,92,1
546,26,28,0
660,32,17,0
371,39,99,1
380,34,24,0
605,40,18,0
462,23,35,1
384,25,63,1
466,37,64,1
360,47,89,0
696,24,24,0
275,44,41,0
339,25,67,1
512,39,97,1
784,28,55,0
445,32,86,1
281,35,24,0
340,30,67,1
687,31,15,0
377,24,82,1
443,39,83,1
333,25,53,1
866,24,72,0
881,45,35,0
420,12,67,0
519,20,39,1
679,31,24,0
160,10,98,0
306,31,12,0
512,36,68,1
318,22,57,1
291,40,95,1
884,33,68,0
201,30,99,0
334,38,33,1
385,25,54,1
351,27,50,1
478,20,43,1
764,26,55,0
363,21,45,1
480,27,73,1
228,25,37,0
546,33,25,0
390,37,90,1
473,30,16,0
439,37,74,1
188,20,29,0
225,40,20,0
582,28,17,0
261,24,79,0
318,31,53,1
412,28,42,1
607,11,57,0
578,36,30,0
594,11,45,0
423,23,17,0
405,37,44,1
651,21,53,0
297,23,85,1
484,28,79,1
342,24,67,1
473,21,89,1
568,44,69,0
262,47,52,0
737,14,43,0
416,22,91,1
199,32,47,0
478,15,60,0
655,49,81,0
369,33,88,1
825,20,22,0
445,30,83,1
433,25,97,1
347,37,38,1
448,39,78,1
421,30,75,1
308,23,84,1
336,39,76,1
319,39,73,1
356,32,46,1
371,40,33,1
398,32,46,1
248,28,12,0
470,37,13,0
395,39,29,0
376,35,54,1
506,30,89,1
482,39,80,1
644,12,64,0
153,40,14,0
283,35,32,1
435,26,77,1
740,37,16,0
536,36,68,0
435,35,97,1
531,38,26,0
414,15,33,0
282,22,56,1
337,21,31,1
316,21,54,1
121,29,78,0
302,31,74,1
149,44,68,0
515,34,58,1
760,47,53,0
504,30,59,1
306,27,50,1
180,35,26,0
422,28,43,1
185,37,22,0
218,39,16,0
438,26,61,1
816,32,30,0
375,38,37,1
841,22,24,0
358,38,48,1
802,37,15,0
563,42,50,0
391,31,38,1
315,36,67,1
189,39,54,0
103,21,15,0
388,46,55,0
448,34,30,1
745,11,99,0
487,36,31,1
130,19,68,0
315,38,34,1
486,24,80,1
823,31,16,0
401,12,72,0
133,24,59,0
462,30,35,1
795,24,98,0
113,50,39,0
478,28,49,1
695,46,51,0
748,45,46,0
313,40,32,1
564,17,98,0
487,40,45,1
828,43,65,0
859,30,89,0
311,33,76,1
245,23,64,0
113,13,83,0
493,23,35,1
370,25,88,1
319,35,86,1
203,34,13,0
443,25,37,1
879,35,20,0
314,20,84,1
471,37,94,1
454,36,56,1
399,20,91,1
471,26,44,1
514,28,54,1
453,26,38,1
350,36,74,1
667,20,40,0
234,23,22,0
616,36,47,0
383,21,76,1
873,23,20,0
168,31,17,0
304,33,65,1
411,41,99,0
878,41,64,0
514,31,30,1
385,30,23,0
431,24,79,1
451,33,37,1
666,36,27,0
395,46,67,0
359,22,51,1
302,41,83,0
797,27,57,0
371,25,96,1
577,46,67,0
339,36,57,1
898,39,76,0
486,35,95,1
222,28,81,0
408,24,44,1
496,40,42,1
258,17,46,0
463,40,86,1
344,21,32,1
377,27,88,1
384,21,95,1
285,46,71,0
442,36,78,1
874,34,20,0
504,24,70,1
298,36,59,1
599,25,29,0
372,44,73,0
385,33,88,1
767,11,95,0
586,49,55,0
369,30,46,1
417,19,45,0
340,38,78,1
363,12,93,0
494,28,66,1
505,23,68,1
334,18,79,0
145,14,34,0
655,32,73,0
741,18,48,0
425,43,100,0
588,14,66,0
624,27,52,0
133,35,96,0
453,20,75,1
356,22,63,1
365,21,77,1
379,22,82,1
347,22,65,1
311,32,87,1
416,33,57,1
287,29,60,1
757,34,28,0
473,36,89,1
514,27,62,1
467,20,64,1
842,48,84,0
380,33,66,1
105,17,85,0
580,21,15,0
488,37,75,1
292,20,59,1
476,13,44,0
576,23,14,0
630,48,34,0
340,38,35,1
354,24,99,1
404,22,89,1
881,20,20,0
567,36,23,0
171,25,86,0
305,39,90,1
326,38,86,1
383,28,83,1
551,27,70,0
332,32,80,1
471,25,59,1
815,12,54,0
574,12,37,0
713,27,16,0
283,30,64,1
501,38,98,1
573,34,69,0
329,38,75,1
898,24,97,0
459,36,55,1
354,10,72,0
302,22,22,0
474,28,76,1
423,31,41,1
354,37,37,1
518,30,65,1
435,24,91,1
548,46,57,0
503,29,98,1
280,11,43,0
245,34,25,0
207,45,67,0
864,47,75,0
403,23,22,0
429,34,45,1
481,24,48,1
382,34,70,1
741,48,86,0
307,22,59,1
321,24,79,1
139,36,23,0
278,34,65,0
151,10,64,0
783,29,22,0
805,37,18,0
466,37,79,1
846,21,42,0
291,30,45,1
301,30,56,1
465,20,47,1
225,27,96,0
792,24,24,0
347,23,35,1
141,29,86,0
377,38,87,1
438,27,92,1
698,27,21,0
204,13,48,0
321,38,98,1
378,24,62,1
343,32,44,1
621,38,56,0
799,38,93,0
369,39,66,1
703,25,47,0
398,36,39,1
404,39,94,1
811,34,18,0
818,33,72,0
348,31,42,1
424,35,87,1
376,25,41,1
340,32,35,1
672,23,14,0
436,28,100,1
455,11,57,0
422,22,77,1
465,38,49,1
486,48,43,0
467,40,64,1
772,25,16,0
333,24,54,1
302,21,75,1
534,50,84,0
723,27,73,0
489,29,99,1
519,31,69,1
170,13,90,0
287,16,79,0
291,15,54,0
868,31,28,0
140,36,24,0
396,27,96,1
735,43,79,0
866,35,72,0
352,32,93,1
363,23,78,1
346,20,50,1
494,34,21,0
463,23,98,1
575,32,41,0
444,40,81,1
422,15,94,0
488,24,32,1
735,41,78,0
523,32,63,0
309,39,56,1
814,32,98,0
403,20,60,1
235,30,19,0
513,21,42,1
623,27,15,0
291,37,58,1
185,24,95,0
504,37,69,1
455,37,42,1
290,37,62,1
270,16,79,0
504,28,81,1
192,17,36,0
479,33,94,1
686,27,81,0
245,21,54,0
375,29,46,1
517,37,37,1
352,36,100,1
481,21,82,1
447,25,33,1
724,25,23,0
377,32,84,1
435,39,82,1
829,22,13,0
318,35,48,1
333,24,39,1
795,27,24,0
709,42,89,0
407,31,94,1
473,38,100,1
897,28,29,0
695,29,19,0
264,24,23,0
518,40,39,1
109,37,24,0
112,49,93,0
409,36,55,1
834,35,22,0
610,25,19,0
210,21,31,0
561,50,71,0
521,29,12,0
389,39,66,1
853,43,33,0
622,20,32,0
135,34,13,0
463,27,96,1
460,25,91,1
461,26,57,1
369,26,71,1
267,22,72,0
248,37,30,0
288,29,65,1
438,24,57,1
692,24,79,0
157,38,19,0
383,33,62,1
607,15,46,0
890,50,69,0
674,23,12,0
195,34,63,0
621,23,19,0
444,39,94,1
397,24,61,1
685,11,100,0
529,33,11,0
448,47,48,0
284,23,49,1
339,24,22,0
804,24,92,0
322,37,82,1
553,25,28,0
365,33,53,1
283,21,71,1
405,36,86,1
309,26,62,1
224,30,30,0
394,18,43,0
485,36,60,1
851,33,56,0
497,33,30,1
872,25,82,0
496,36,85,1
775,35,88,0
236,44,68,0
446,23,75,1
140,32,29,0
478,31,55,1
224,20,97,0
433,29,80,1
370,24,38,1
380,36,16,0
407,37,90,1
373,33,34,1
417,31,87,1
418,25,47,1
431,35,85,1
164,30,92,0
310,40,35,1
642,21,81,0
426,37,32,1
423,26,47,1
383,33,45,1
450,27,84,1
420,38,31,1
461,21,86,1
380,24,63,1
346,38,49,1
334,21,60,1
408,30,44,1
282,23,27,0
783,32,13,0
819,14,93,0
302,33,75,1
307,47,43,0
266,32,41,0
353,46,98,0
837,25,95,0
420,38,32,1
421,38,63,1
263,21,16,0
145,33,48,0
568,25,85,0
482,40,43,1
256,47,36,0
281,28,37,1
371,26,43,1
450,28,98,1
409,23,79,1
327,26,52,1
786,29,91,0
142,20,81,0
280,20,97,1
646,23,21,0
623,35,23,0
190,24,87,0
310,30,100,1
416,30,65,1
557,38,21,0
664,38,33,0
194,25,59,0
110,32,14,0
255,37,60,0
411,26,32,1
246,28,55,0
771,32,85,0
470,31,92,1
235,44,87,0
369,27,10,0
437,31,72,1
808,48,71,0
339,31,53,1
662,30,78,0
136,27,24,0
153,29,10,0
158,27,48,0
524,20,12,0
401,22,98,1
591,49,48,0
324,25,46,1
769,45,32,0
622,43,43,0
454,33,47,1
668,26,83,0
864,38,50,0
242,22,68,0
363,28,41,1
110,32,79,0
343,37,100,1
739,27,83,0
718,25,47,0
355,30,44,1
259,38,65,0
310,49,73,0
342,21,94,1
237,40,94,0
763,49,80,0
397,48,64,0
760,45,38,0
848,17,75,0
393,40,60,1
431,24,39,1
422,32,85,1
656,13,34,0
328,24,42,1
378,24,32,1
284,34,60,1
342,27,54,1
379,31,52,1
391,28,57,1
363,24,65,1
168,34,81,0
344,29,65,1
758,39,18,0
317,29,62,1
391,23,54,1
393,31,85,1
159,21,31,0
208,20,16,0
715,12,51,0
136,31,66,0
431,12,46,0
296,25,61,1
358,27,41,1
448,23,30,1
288,39,37,1
419,38,100,1
405,28,35,1
490,34,20,0
689,10,48,0
255,11,47,0
387,20,29,0
674,38,15,0
349,40,58,1
342,40,46,1
403,40,42,1
796,23,65,0
454,20,35,1
287,21,83,1
366,23,48,1
250,31,10,0
159,20,51,0
540,16,84,0
443,40,72,1
421,47,72,0
814,33,59,0
346,32,83,1
337,42,91,0
337,32,75,1
488,22,88,1
169,18,81,0
177,34,25,0
323,33,63,1
859,35,12,0
398,35,94,1
479,34,57,1
745,36,21,0
350,45,89,0
824,42,48,0
429,37,88,1
372,31,70,1
385,49,35,0
329,33,44,1
484,20,68,1
900,38,23,0
492,32,85,1
290,20,58,1
362,38,97,1
306,22,68,1
546,19,74,0
900,41,97,0
406,30,79,1
118,28,45,0
414,25,76,1
431,28,89,1
457,20,76,1
621,38,73,0
184,28,38,0
472,36,62,1
399,28,33,1
372,29,56,1
127,45,60,0
335,50,92,0
645,17,83,0
388,22,60,1
296,28,97,1
374,39,99,1
415,35,19,0
465,31,64,1
327,39,34,1
292,26,92,1
772,28,27,0
216,22,80,0
465,40,60,1
718,24,78,0
347,30,90,1
590,37,85,0
436,22,21,0
483,23,75,1
691,33,29,0
669,45,33,0
436,39,32,1
529,20,71,0
476,39,72,1
439,32,65,1
305,17,69,0
489,40,34,1
823,33,49,0
105,33,14,0
352,30,92,1
508,29,80,1
486,35,82,1
539,30,12,0
339,27,70,1
393,25,80,1
689,35,58,0
367,24,25,0
519,39,43,1
639,31,18,0
484,26,89,1
481,32,61,1
581,29,38,0
300,23,50,1
844,40,71,0
529,26,51,0
686,21,10,0
447,44,77,0
387,40,87,1
380,28,90,1
490,30,87,1
394,25,98,1
869,41,71,0
427,27,39,1
407,36,97,1
780,40,60,0
421,38,34,1
456,34,26,0
594,36,13,0
368,40,49,1
726,21,23,0
430,20,76,1
437,31,51,1
291,29,87,1
366,23,46,1
422,37,42,1
338,38,15,0
694,38,42,0
374,32,47,1
153,12,52,0
834,30,66,0
871,37,66,0
738,10,73,0
290,38,78,1
553,36,48,0
315,27,25,0
309,30,82,1
359,31,42,1
122,30,43,0
483,39,42,1
748,22,66,0
423,35,71,1
432,37,32,1
618,40,98,0
403,38,48,1
335,26,84,1
394,29,94,1
335,24,51,1
631,35,42,0
783,45,90,0
201,43,95,0
321,28,65,1
728,24,23,0
540,46,44,0
574,41,34,0
413,34,100,1
219,23,41,0
376,33,35,1
380,28,41,1
373,33,47,1
496,20,84,1
383,10,54,0
724,29,50,0
475,26,51,1
492,22,40,1
210,31,22,0
483,34,94,1
502,30,81,1
720,22,11,0
355,38,33,1
786,36,72,0
335,27,51,1
882,36,15,0
204,16,78,0
342,30,60,1
397,27,42,1
330,30,59,1
210,20,99,0
210,43,58,0
508,40,98,1
705,37,15,0
859,18,55,0
494,36,38,1
463,33,63,1
493,20,82,1
361,38,77,1
318,26,93,1
310,38,45,1
428,20,11,0
397,25,30,1
462,35,35,1
497,22,30,1
361,28,58,1
320,34,20,0
428,32,39,1
227,30,20,0
322,26,97,1
