text,intent,domain
Filter machines having cost equal to 73,filter_condition,Manufacturing
List subjects where marks is greater than 709,filter_condition,Education
Compute mean of blood pressure for all records,aggregate_average,Medical
Display games whose score exceeds 903,filter_condition,Sports
List players where score is greater than 265,filter_condition,Sports
Sort parts by output in descending order,sort_descending,Manufacturing
Display players whose goals exceeds 321,filter_condition,Sports
Display accounts whose amount exceeds 730,filter_condition,Finance
Show all machines with output below 422,filter_condition,Manufacturing
Find lowest area among harvests,aggregate_minmax,Agriculture
Order crops from largest to smallest yield,sort_descending,Agriculture
Display records whose age exceeds 685,filter_condition,Medical
Filter orders having discount equal to 657,filter_condition,Retail
Show all batches with cost below 88,filter_condition,Manufacturing
Filter batches having output equal to 834,filter_condition,Manufacturing
Display crops whose area exceeds 111,filter_condition,Agriculture
Show all batches with cost below 972,filter_condition,Manufacturing
Filter batches having output equal to 309,filter_condition,Manufacturing
Display accounts whose balance exceeds 165,filter_condition,Finance
Find highest runtime among batches,aggregate_minmax,Manufacturing
Display batches whose output exceeds 687,filter_condition,Manufacturing
Display players whose score exceeds 259,filter_condition,Sports
Show all tests with blood pressure below 798,filter_condition,Medical
Show all transactions with profit below 788,filter_condition,Finance
Filter games having score equal to 632,filter_condition,Sports
Filter logs having uptime equal to 113,filter_condition,Technology
Display games whose goals exceeds 415,filter_condition,Sports
Display accounts whose profit exceeds 206,filter_condition,Finance
List farms where yield is greater than 338,filter_condition,Agriculture
List products where discount is greater than 317,filter_condition,Retail
Show average cost by factory,groupby_aggregate,Manufacturing
Show all orders with quantity below 619,filter_condition,Retail
List crops where area is greater than 435,filter_condition,Agriculture
Show all machines with output below 858,filter_condition,Manufacturing
Show all accounts with balance below 87,filter_condition,Finance
Filter games having assists equal to 221,filter_condition,Sports
Filter transactions having balance equal to 499,filter_condition,Finance
Filter students having marks equal to 628,filter_condition,Education
List farms where area is greater than 220,filter_condition,Agriculture
Display teams whose goals exceeds 834,filter_condition,Sports
Display investments whose profit exceeds 818,filter_condition,Finance
Order students from largest to smallest grade,sort_descending,Education
Find highest marks among subjects,aggregate_minmax,Education
Filter teams having score equal to 963,filter_condition,Sports
Display tickets whose response time exceeds 707,filter_condition,Technology
Filter tests having age equal to 732,filter_condition,Medical
Show all investments with profit below 134,filter_condition,Finance
List batches where output is greater than 253,filter_condition,Manufacturing
Find average marks among grades,aggregate_average,Education
Calculate sum of area from crops,aggregate_sum,Agriculture
Show all tests with heart rate below 796,filter_condition,Medical
Filter products having quantity equal to 206,filter_condition,Retail
Order tests from largest to smallest age,sort_descending,Medical
Filter harvests having area equal to 727,filter_condition,Agriculture
Show first few records of games,show_head,Sports
Display tests whose heart rate exceeds 990,filter_condition,Medical
List orders where discount is greater than 493,filter_condition,Retail
List orders where price is greater than 539,filter_condition,Retail
Show how many tests are in each department,groupby_count,Medical
Display players whose score exceeds 731,filter_condition,Sports
Show all subjects with grade below 878,filter_condition,Education
Display crops whose rainfall exceeds 427,filter_condition,Agriculture
Display devices whose errors exceeds 910,filter_condition,Technology
Filter students having attendance equal to 320,filter_condition,Education
Filter games having goals equal to 752,filter_condition,Sports
Sort products by discount in descending order,sort_descending,Retail
Show all logs with errors below 70,filter_condition,Technology
Filter accounts having profit equal to 583,filter_condition,Finance
Calculate sum of yield from harvests,aggregate_sum,Agriculture
Show all subjects with marks below 931,filter_condition,Education
Show all farms with area below 112,filter_condition,Agriculture
Filter crops having yield equal to 454,filter_condition,Agriculture
Filter transactions having amount equal to 777,filter_condition,Finance
List accounts where profit is greater than 349,filter_condition,Finance
Order patients from smallest to largest age,sort_ascending,Medical
Display students whose marks exceeds 729,filter_condition,Education
List logs where response time is greater than 248,filter_condition,Technology
Show first few records of products,show_head,Retail
Filter subjects having grade equal to 813,filter_condition,Education
Display accounts whose amount exceeds 715,filter_condition,Finance
List logs where response time is greater than 863,filter_condition,Technology
List parts where runtime is greater than 707,filter_condition,Manufacturing
Show all sales with quantity below 816,filter_condition,Retail
Find total score for all players,aggregate_sum,Sports
Show all parts with cost below 334,filter_condition,Manufacturing
Show average balance by branch,groupby_aggregate,Finance
Display devices whose uptime exceeds 143,filter_condition,Technology
Display batches whose cost exceeds 542,filter_condition,Manufacturing
Display parts whose cost exceeds 964,filter_condition,Manufacturing
Display students whose marks exceeds 17,filter_condition,Education
Show all machines with cost below 478,filter_condition,Manufacturing
Show all logs with errors below 894,filter_condition,Technology
Show all harvests with yield below 925,filter_condition,Agriculture
Show all sales with price below 467,filter_condition,Retail
List machines where runtime is greater than 290,filter_condition,Manufacturing
Order batches from largest to smallest output,sort_descending,Manufacturing
Show all machines with output below 420,filter_condition,Manufacturing
Find highest grade among grades,aggregate_minmax,Education
Get maximum grade from subjects,aggregate_minmax,Education
Show all players with goals below 214,filter_condition,Sports
Sort batches by output in ascending order,sort_ascending,Manufacturing
Show all parts with cost below 713,filter_condition,Manufacturing
Filter grades having attendance equal to 871,filter_condition,Education
List transactions where profit is greater than 754,filter_condition,Finance
List tests where blood pressure is greater than 384,filter_condition,Medical
Get maximum assists from teams,aggregate_minmax,Sports
Get minimum output from parts,aggregate_minmax,Manufacturing
Find total profit for all investments,aggregate_sum,Finance
Display parts whose cost exceeds 747,filter_condition,Manufacturing
Sort products by quantity in descending order,sort_descending,Retail
Filter accounts having amount equal to 167,filter_condition,Finance
List products where discount is greater than 929,filter_condition,Retail
Compute mean of yield for all harvests,aggregate_average,Agriculture
Filter games having assists equal to 628,filter_condition,Sports
Filter subjects having attendance equal to 275,filter_condition,Education
Filter crops having yield equal to 625,filter_condition,Agriculture
Show all tests with age below 370,filter_condition,Medical
List accounts where balance is greater than 294,filter_condition,Finance
Show all sales with discount below 529,filter_condition,Retail
Display accounts whose balance exceeds 710,filter_condition,Finance
List patients where heart rate is greater than 886,filter_condition,Medical
Show all products with discount below 897,filter_condition,Retail
Display machines whose output exceeds 370,filter_condition,Manufacturing
Filter tests having age equal to 290,filter_condition,Medical
Visualize time-series of score,visualize_line_chart,Sports
Display subjects whose attendance exceeds 883,filter_condition,Education
Show all orders with quantity below 775,filter_condition,Retail
Compute mean of response time for all tickets,aggregate_average,Technology
Get maximum goals from teams,aggregate_minmax,Sports
Filter parts having runtime equal to 966,filter_condition,Manufacturing
Filter investments having amount equal to 700,filter_condition,Finance
Display bottom rows from students,show_tail,Education
List games where assists is greater than 556,filter_condition,Sports
Sort orders by price in ascending order,sort_ascending,Retail
Show average attendance by class,groupby_aggregate,Education
List subjects where grade is greater than 918,filter_condition,Education
Filter students having grade equal to 549,filter_condition,Education
Display teams whose score exceeds 346,filter_condition,Sports
Compute mean of attendance for all subjects,aggregate_average,Education
Show all grades with marks below 343,filter_condition,Education
Compute mean of grade for all grades,aggregate_average,Education
List logs where response time is greater than 677,filter_condition,Technology
Filter farms having rainfall equal to 23,filter_condition,Agriculture
List products where discount is greater than 705,filter_condition,Retail
Filter accounts having profit equal to 253,filter_condition,Finance
Count number of devices per region,groupby_count,Technology
Filter sales having price equal to 124,filter_condition,Retail
Filter orders having quantity equal to 5,filter_condition,Retail
Get maximum cost from batches,aggregate_minmax,Manufacturing
List patients where blood pressure is greater than 973,filter_condition,Medical
Show all subjects with marks below 819,filter_condition,Education
Sort harvests by area in descending order,sort_descending,Agriculture
Find highest price among sales,aggregate_minmax,Retail
Show all tickets with uptime below 592,filter_condition,Technology
List patients where heart rate is greater than 616,filter_condition,Medical
Display devices whose uptime exceeds 458,filter_condition,Technology
Display accounts whose balance exceeds 909,filter_condition,Finance
Display games whose goals exceeds 553,filter_condition,Sports
List teams where score is greater than 995,filter_condition,Sports
List machines where cost is greater than 757,filter_condition,Manufacturing
Filter products having discount equal to 408,filter_condition,Retail
Display investments whose amount exceeds 847,filter_condition,Finance
Filter crops having yield equal to 151,filter_condition,Agriculture
Show all tickets with uptime below 306,filter_condition,Technology
List records where blood pressure is greater than 441,filter_condition,Medical
Show all accounts with amount below 5,filter_condition,Finance
Show all crops with area below 953,filter_condition,Agriculture
Display parts whose output exceeds 213,filter_condition,Manufacturing
List games where goals is greater than 931,filter_condition,Sports
Display players whose assists exceeds 99,filter_condition,Sports
Sort products by price in descending order,sort_descending,Retail
Show average price by category,groupby_aggregate,Retail
Display machines whose runtime exceeds 769,filter_condition,Manufacturing
Filter games having assists equal to 886,filter_condition,Sports
Show all machines with runtime below 71,filter_condition,Manufacturing
Sort farms by area in descending order,sort_descending,Agriculture
List crops where area is greater than 39,filter_condition,Agriculture
Display records whose heart rate exceeds 519,filter_condition,Medical
Display sales whose discount exceeds 99,filter_condition,Retail
Get minimum runtime from machines,aggregate_minmax,Manufacturing
Display orders whose discount exceeds 657,filter_condition,Retail
Display products whose quantity exceeds 371,filter_condition,Retail
Display investments whose profit exceeds 445,filter_condition,Finance
Filter grades having grade equal to 530,filter_condition,Education
Get maximum cost from parts,aggregate_minmax,Manufacturing
Display crops whose yield exceeds 615,filter_condition,Agriculture
Display batches whose cost exceeds 615,filter_condition,Manufacturing
Compute mean of runtime for all machines,aggregate_average,Manufacturing
Show all tests with age below 601,filter_condition,Medical
Display players whose score exceeds 114,filter_condition,Sports
List patients where heart rate is greater than 681,filter_condition,Medical
Find average area among farms,aggregate_average,Agriculture
Show all tickets with response time below 944,filter_condition,Technology
List grades where marks is greater than 306,filter_condition,Education
Filter logs having response time equal to 795,filter_condition,Technology
Display total assists per team,groupby_aggregate,Sports
Display machines whose cost exceeds 177,filter_condition,Manufacturing
List transactions where profit is greater than 82,filter_condition,Finance
Display parts whose output exceeds 412,filter_condition,Manufacturing
List devices where errors is greater than 894,filter_condition,Technology
Display games whose score exceeds 568,filter_condition,Sports
Filter teams having assists equal to 374,filter_condition,Sports
Display grades whose grade exceeds 635,filter_condition,Education
Display devices whose response time exceeds 776,filter_condition,Technology
Show all subjects with marks below 603,filter_condition,Education
Filter products having discount equal to 526,filter_condition,Retail
Filter logs having errors equal to 751,filter_condition,Technology
Display crops whose rainfall exceeds 260,filter_condition,Agriculture
Show all transactions with balance below 947,filter_condition,Finance
Calculate sum of quantity from products,aggregate_sum,Retail
Display tests whose age exceeds 851,filter_condition,Medical
Get maximum age from patients,aggregate_minmax,Medical
Display devices whose errors exceeds 652,filter_condition,Technology
List sales where price is greater than 304,filter_condition,Retail
Plot blood pressure trend over time,visualize_line_chart,Medical
List tests where heart rate is greater than 860,filter_condition,Medical
Show all crops with area below 180,filter_condition,Agriculture
List harvests where area is greater than 256,filter_condition,Agriculture
Arrange transactions by profit (high to low),sort_descending,Finance
Filter devices having response time equal to 278,filter_condition,Technology
Filter logs having uptime equal to 7,filter_condition,Technology
List grades where grade is greater than 604,filter_condition,Education
Show all patients with blood pressure below 815,filter_condition,Medical
Display teams whose assists exceeds 126,filter_condition,Sports
Display students whose grade exceeds 352,filter_condition,Education
Filter investments having amount equal to 658,filter_condition,Finance
Filter orders having price equal to 911,filter_condition,Retail
List crops where area is greater than 549,filter_condition,Agriculture
List games where assists is greater than 258,filter_condition,Sports
Display harvests whose area exceeds 666,filter_condition,Agriculture
Filter devices having errors equal to 543,filter_condition,Technology
Filter investments having amount equal to 138,filter_condition,Finance
Show all products with quantity below 896,filter_condition,Retail
Compute mean of uptime for all logs,aggregate_average,Technology
Show all records with blood pressure below 366,filter_condition,Medical
Show all products with quantity below 391,filter_condition,Retail
List investments where amount is greater than 329,filter_condition,Finance
Get maximum area from crops,aggregate_minmax,Agriculture
Order games from largest to smallest goals,sort_descending,Sports
List games where score is greater than 95,filter_condition,Sports
List harvests where rainfall is greater than 698,filter_condition,Agriculture
Show all harvests with yield below 878,filter_condition,Agriculture
List machines where runtime is greater than 39,filter_condition,Manufacturing
Count number of transactions per account type,groupby_count,Finance
Get minimum assists from teams,aggregate_minmax,Sports
List harvests where yield is greater than 778,filter_condition,Agriculture
Show all devices with errors below 185,filter_condition,Technology
Display total goals per position,groupby_aggregate,Sports
Display parts whose runtime exceeds 857,filter_condition,Manufacturing
Display top rows from tickets,show_head,Technology
Filter tickets having uptime equal to 463,filter_condition,Technology
Display patients whose blood pressure exceeds 431,filter_condition,Medical
Show all transactions with balance below 826,filter_condition,Finance
Display farms whose yield exceeds 141,filter_condition,Agriculture
Show all grades with marks below 79,filter_condition,Education
Show all sales with price below 161,filter_condition,Retail
Show all batches with runtime below 501,filter_condition,Manufacturing
Display transactions whose profit exceeds 500,filter_condition,Finance
Calculate sum of blood pressure from tests,aggregate_sum,Medical
Show all tests with blood pressure below 315,filter_condition,Medical
Get maximum balance from investments,aggregate_minmax,Finance
Visualize quantity distribution using bars,visualize_bar_chart,Retail
List machines where cost is greater than 649,filter_condition,Manufacturing
Display records whose age exceeds 74,filter_condition,Medical
Calculate sum of marks from students,aggregate_sum,Education
Filter orders having price equal to 159,filter_condition,Retail
List grades where grade is greater than 210,filter_condition,Education
Sort crops by area in ascending order,sort_ascending,Agriculture
Filter products having quantity equal to 94,filter_condition,Retail
Show all orders with discount below 910,filter_condition,Retail
List harvests where rainfall is greater than 343,filter_condition,Agriculture
Compute mean of attendance for all grades,aggregate_average,Education
Find total goals for all players,aggregate_sum,Sports
Display tickets whose uptime exceeds 723,filter_condition,Technology
Filter logs having errors equal to 296,filter_condition,Technology
Show all accounts with balance below 377,filter_condition,Finance
Filter teams having goals equal to 435,filter_condition,Sports
Show all harvests with area below 651,filter_condition,Agriculture
Display patients whose heart rate exceeds 998,filter_condition,Medical
Show all crops with area below 36,filter_condition,Agriculture
Filter products having quantity equal to 242,filter_condition,Retail
Show all students with marks below 994,filter_condition,Education
List sales where discount is greater than 378,filter_condition,Retail
Create bar chart for heart rate,visualize_bar_chart,Medical
Filter parts having runtime equal to 645,filter_condition,Manufacturing
Filter accounts having amount equal to 203,filter_condition,Finance
Show all patients with age below 727,filter_condition,Medical
Show all devices with errors below 516,filter_condition,Technology
Show all games with score below 982,filter_condition,Sports
Find average balance among investments,aggregate_average,Finance
List products where price is greater than 502,filter_condition,Retail
List farms where yield is greater than 293,filter_condition,Agriculture
Display tests whose heart rate exceeds 357,filter_condition,Medical
Display machines whose runtime exceeds 819,filter_condition,Manufacturing
Filter parts having output equal to 598,filter_condition,Manufacturing
Display crops whose yield exceeds 766,filter_condition,Agriculture
Show all logs with response time below 378,filter_condition,Technology
Display sales whose price exceeds 120,filter_condition,Retail
Sort subjects by attendance in descending order,sort_descending,Education
List products where quantity is greater than 248,filter_condition,Retail
Order investments from largest to smallest balance,sort_descending,Finance
Show all products with quantity below 352,filter_condition,Retail
Show all harvests with area below 48,filter_condition,Agriculture
Find highest amount among accounts,aggregate_minmax,Finance
Filter games having score equal to 18,filter_condition,Sports
Show all teams with assists below 402,filter_condition,Sports
Show all accounts with balance below 656,filter_condition,Finance
Show all farms with yield below 708,filter_condition,Agriculture
List batches where runtime is greater than 413,filter_condition,Manufacturing
Filter teams having goals equal to 461,filter_condition,Sports
Show how many machines are in each factory,groupby_count,Manufacturing
Show all transactions with profit below 654,filter_condition,Finance
List games where assists is greater than 132,filter_condition,Sports
Find average cost among batches,aggregate_average,Manufacturing
List devices where response time is greater than 246,filter_condition,Technology
Sort tests by blood pressure in ascending order,sort_ascending,Medical
Display farms whose area exceeds 796,filter_condition,Agriculture
Count number of orders per store,groupby_count,Retail
Display records whose heart rate exceeds 867,filter_condition,Medical
Display products whose quantity exceeds 969,filter_condition,Retail
Show all crops with yield below 668,filter_condition,Agriculture
List tickets where errors is greater than 317,filter_condition,Technology
Filter machines having output equal to 139,filter_condition,Manufacturing
Filter products having price equal to 513,filter_condition,Retail
List records where heart rate is greater than 491,filter_condition,Medical
Show all transactions with amount below 830,filter_condition,Finance
Display students whose attendance exceeds 158,filter_condition,Education
Show all devices with uptime below 375,filter_condition,Technology
Order records from largest to smallest age,sort_descending,Medical
List teams where goals is greater than 39,filter_condition,Sports
Display orders whose quantity exceeds 932,filter_condition,Retail
List accounts where profit is greater than 270,filter_condition,Finance
Display tests whose heart rate exceeds 124,filter_condition,Medical
List devices where errors is greater than 973,filter_condition,Technology
Display patients whose blood pressure exceeds 350,filter_condition,Medical
Show all teams with score below 505,filter_condition,Sports
Display farms whose rainfall exceeds 555,filter_condition,Agriculture
Filter investments having profit equal to 436,filter_condition,Finance
Display tests whose age exceeds 491,filter_condition,Medical
Show all teams with assists below 376,filter_condition,Sports
List products where price is greater than 125,filter_condition,Retail
Show first few records of tests,show_head,Medical
Display transactions whose balance exceeds 693,filter_condition,Finance
List machines where output is greater than 308,filter_condition,Manufacturing
Display sales whose price exceeds 892,filter_condition,Retail
Display games whose score exceeds 532,filter_condition,Sports
Visualize time-series of goals,visualize_line_chart,Sports
List devices where errors is greater than 757,filter_condition,Technology
List records where age is greater than 842,filter_condition,Medical
Display players whose assists exceeds 268,filter_condition,Sports
Filter patients having blood pressure equal to 295,filter_condition,Medical
Find average assists among players,aggregate_average,Sports
Filter investments having amount equal to 326,filter_condition,Finance
Display crops whose rainfall exceeds 668,filter_condition,Agriculture
List transactions where profit is greater than 995,filter_condition,Finance
Display machines whose cost exceeds 97,filter_condition,Manufacturing
List records where heart rate is greater than 334,filter_condition,Medical
Filter products having quantity equal to 149,filter_condition,Retail
Create bar chart for profit,visualize_bar_chart,Finance
List teams where score is greater than 113,filter_condition,Sports
Sort tickets by errors in descending order,sort_descending,Technology
List farms where area is greater than 237,filter_condition,Agriculture
List accounts where balance is greater than 280,filter_condition,Finance
Show first few records of orders,show_head,Retail
Show how many games are in each position,groupby_count,Sports
List all columns in the dataset,show_columns,Retail
Filter harvests having yield equal to 393,filter_condition,Agriculture
Filter tickets having response time equal to 475,filter_condition,Technology
Show all machines with cost below 279,filter_condition,Manufacturing
List logs where uptime is greater than 984,filter_condition,Technology
Display investments whose profit exceeds 114,filter_condition,Finance
Show all farms with yield below 839,filter_condition,Agriculture
Visualize time-series of area,visualize_line_chart,Agriculture
Display students whose attendance exceeds 924,filter_condition,Education
Find average output among batches,aggregate_average,Manufacturing
Arrange tests by blood pressure (low to high),sort_ascending,Medical
Show last few records of records,show_tail,Medical
List logs where errors is greater than 192,filter_condition,Technology
List records where heart rate is greater than 125,filter_condition,Medical
Sort harvests by rainfall in descending order,sort_descending,Agriculture
Show all grades with grade below 785,filter_condition,Education
List batches where runtime is greater than 459,filter_condition,Manufacturing
List tickets where uptime is greater than 816,filter_condition,Technology
Display investments whose amount exceeds 351,filter_condition,Finance
Show all students with grade below 586,filter_condition,Education
Find lowest assists among teams,aggregate_minmax,Sports
List farms where area is greater than 842,filter_condition,Agriculture
List investments where balance is greater than 639,filter_condition,Finance
Find average heart rate among records,aggregate_average,Medical
Find total marks for all subjects,aggregate_sum,Education
Arrange logs by uptime (low to high),sort_ascending,Technology
Show all players with goals below 900,filter_condition,Sports
Filter sales having discount equal to 773,filter_condition,Retail
Filter games having score equal to 93,filter_condition,Sports
Filter parts having cost equal to 89,filter_condition,Manufacturing
Filter records having age equal to 16,filter_condition,Medical
Filter patients having blood pressure equal to 198,filter_condition,Medical
Show all investments with balance below 247,filter_condition,Finance
Display investments whose profit exceeds 120,filter_condition,Finance
Get maximum uptime from tickets,aggregate_minmax,Technology
Show all crops with yield below 451,filter_condition,Agriculture
Order subjects from largest to smallest attendance,sort_descending,Education
List patients where heart rate is greater than 675,filter_condition,Medical
Filter batches having cost equal to 771,filter_condition,Manufacturing
Find highest blood pressure among tests,aggregate_minmax,Medical
Filter patients having age equal to 910,filter_condition,Medical
Display harvests whose yield exceeds 603,filter_condition,Agriculture
Sort tests by blood pressure in descending order,sort_descending,Medical
Display batches whose cost exceeds 369,filter_condition,Manufacturing
Filter orders having price equal to 716,filter_condition,Retail
Filter machines having cost equal to 120,filter_condition,Manufacturing
Find highest balance among investments,aggregate_minmax,Finance
Display grades whose attendance exceeds 693,filter_condition,Education
Sort transactions by balance in descending order,sort_descending,Finance
Filter tickets having uptime equal to 461,filter_condition,Technology
Get minimum discount from products,aggregate_minmax,Retail
List devices where response time is greater than 104,filter_condition,Technology
Display sales whose price exceeds 1000,filter_condition,Retail
List transactions where balance is greater than 605,filter_condition,Finance
List records where age is greater than 880,filter_condition,Medical
Filter sales having price equal to 285,filter_condition,Retail
Order parts from largest to smallest cost,sort_descending,Manufacturing
Show all tickets with uptime below 26,filter_condition,Technology
Display accounts whose balance exceeds 785,filter_condition,Finance
Show all tests with blood pressure below 592,filter_condition,Medical
Display total attendance per class,groupby_aggregate,Education
Show all orders with discount below 388,filter_condition,Retail
Arrange batches by cost (low to high),sort_ascending,Manufacturing
List students where marks is greater than 336,filter_condition,Education
Display grades whose attendance exceeds 205,filter_condition,Education
Get minimum grade from students,aggregate_minmax,Education
Filter logs having errors equal to 930,filter_condition,Technology
Order tests from smallest to largest heart rate,sort_ascending,Medical
Calculate sum of attendance from grades,aggregate_sum,Education
Display records whose age exceeds 205,filter_condition,Medical
List accounts where amount is greater than 195,filter_condition,Finance
Display grades whose marks exceeds 743,filter_condition,Education
Filter records having age equal to 792,filter_condition,Medical
Order products from largest to smallest price,sort_descending,Retail
Count number of records per department,groupby_count,Medical
Sort machines by output in ascending order,sort_ascending,Manufacturing
Show all transactions with profit below 528,filter_condition,Finance
List sales where price is greater than 327,filter_condition,Retail
Filter investments having profit equal to 542,filter_condition,Finance
Show all records with heart rate below 575,filter_condition,Medical
Show all products with discount below 479,filter_condition,Retail
Filter transactions having profit equal to 765,filter_condition,Finance
Filter harvests having yield equal to 953,filter_condition,Agriculture
List accounts where profit is greater than 243,filter_condition,Finance
List devices where errors is greater than 454,filter_condition,Technology
Show all logs with uptime below 1000,filter_condition,Technology
Show all games with score below 232,filter_condition,Sports
List records where blood pressure is greater than 865,filter_condition,Medical
Display records whose heart rate exceeds 154,filter_condition,Medical
Filter grades having attendance equal to 269,filter_condition,Education
Filter students having grade equal to 880,filter_condition,Education
Filter subjects having marks equal to 11,filter_condition,Education
Display tickets whose uptime exceeds 562,filter_condition,Technology
Show all parts with cost below 547,filter_condition,Manufacturing
Filter parts having cost equal to 319,filter_condition,Manufacturing
Show all records with blood pressure below 587,filter_condition,Medical
List products where quantity is greater than 57,filter_condition,Retail
Calculate sum of rainfall from harvests,aggregate_sum,Agriculture
Create bar chart for marks,visualize_bar_chart,Education
List logs where response time is greater than 887,filter_condition,Technology
Display tickets whose errors exceeds 947,filter_condition,Technology
Sort harvests by yield in ascending order,sort_ascending,Agriculture
Show all players with goals below 419,filter_condition,Sports
Show all records with blood pressure below 611,filter_condition,Medical
List orders where discount is greater than 940,filter_condition,Retail
Sort farms by rainfall in ascending order,sort_ascending,Agriculture
Show all tests with age below 495,filter_condition,Medical
List accounts where balance is greater than 162,filter_condition,Finance
Filter investments having profit equal to 114,filter_condition,Finance
Filter sales having quantity equal to 106,filter_condition,Retail
Arrange games by assists (low to high),sort_ascending,Sports
List grades where marks is greater than 277,filter_condition,Education
Filter games having goals equal to 680,filter_condition,Sports
Display farms whose yield exceeds 522,filter_condition,Agriculture
Filter grades having grade equal to 416,filter_condition,Education
Show all sales with price below 967,filter_condition,Retail
Display machines whose cost exceeds 919,filter_condition,Manufacturing
Display orders whose quantity exceeds 841,filter_condition,Retail
Filter parts having output equal to 928,filter_condition,Manufacturing
Find total uptime for all logs,aggregate_sum,Technology
Show all players with score below 338,filter_condition,Sports
Visualize runtime distribution using bars,visualize_bar_chart,Manufacturing
Display transactions whose amount exceeds 344,filter_condition,Finance
