Temperature(°C),Humidity(%),Average_Weight(g),Accel_X(m/s²),Accel_Y(m/s²),Accel_Z(m/s²),Average_RPM
30.91,72.69,304.86,8.47,-9.03,3.17,1747.71
49.15,72.14,214.34,-0.08,6.36,8.57,66.15
48.87,51.27,310.94,7.32,2.03,5.26,1069.55
27.55,68.77,184.77,9.02,9.12,-0.45,420.51
34.92,86.98,248.58,-3.51,9.2,-1.92,736.31
29.03,65.9,287.61,-1.62,-8.98,-2.27,2723.02
28.55,75.0,280.4,4.38,-6.79,2.02,75.65
21.11,81.19,270.23,-3.99,-0.32,-2.82,833.02
38.29,81.36,334.96,5.08,7.59,-5.48,1578.41
35.08,70.77,195.71,-8.52,6.29,2.06,1903.91
21.54,84.32,248.74,0.47,9.29,-2.19,1247.71
28.36,65.66,326.8,-7.55,2.36,-9.72,777.67
47.25,85.55,165.58,-4.13,-4.87,-9.56,1539.71
27.19,59.61,161.18,-4.83,-9.5,-4.52,1010.45
24.35,61.21,196.66,6.78,-5.54,0.25,735.24
34.68,52.12,276.6,-6.13,3.51,-2.92,358.18
49.57,81.82,201.98,6.17,8.53,-9.52,1592.26
27.26,66.68,188.05,5.88,-3.58,-5.54,1000.85
40.16,59.16,241.76,-0.02,7.51,-8.07,1927.61
42.85,59.27,272.72,-5.32,-2.1,8.97,1603.82
27.13,86.06,199.71,-5.46,-3.83,-3.74,840.03
41.85,83.36,210.14,-0.7,0.18,-9.7,1481.7
31.03,72.14,272.71,-9.82,-1.15,3.21,906.78
38.97,74.64,339.15,0.63,8.28,-5.35,159.73
39.01,68.97,284.95,9.06,-0.63,1.33,1033.36
36.07,65.67,306.58,-6.91,-4.45,-6.99,1731.46
22.71,86.62,223.36,1.47,6.85,9.68,1710.88
45.06,55.02,204.45,9.24,9.97,9.41,1149.93
29.62,66.74,240.85,7.21,2.96,3.12,760.05
25.6,63.78,311.43,7.01,-4.99,4.14,20.2
21.22,69.93,241.26,6.44,-5.22,-1.48,622.82
37.73,68.31,319.35,-3.82,-8.85,9.24,1979.62
40.33,70.76,347.75,7.81,-8.45,-1.53,1452.98
20.5,55.6,164.41,8.83,8.3,-5.21,1435.18
35.36,70.53,159.08,-0.08,-8.07,-7.69,1522.17
26.79,59.7,179.92,-2.91,-0.31,-5.84,1240.23
39.36,57.37,226.87,-1.72,3.96,1.44,1171.72
25.23,52.59,176.21,-3.32,7.01,-5.1,907.24
40.73,80.51,324.13,-5.75,-6.57,3.08,887.87
31.6,67.1,154.63,2.37,-1.24,-2.36,1741.7
48.1,75.07,213.16,1.25,-4.97,7.74,786.91
24.13,79.1,186.94,-0.75,-4.88,1.17,1680.58
30.23,77.17,336.31,-8.08,-3.92,2.45,1675.47
23.4,68.82,283.9,5.94,1.74,1.13,1541.8
47.74,65.52,332.41,-6.5,-9.67,7.71,75.28
46.32,65.04,344.47,-7.71,-1.82,-8.73,295.94
27.74,75.6,249.42,2.46,-6.26,-8.65,629.41
39.8,69.79,196.86,-2.03,9.34,4.03,1695.07
44.52,83.97,188.75,-8.8,1.65,5.36,1746.52
36.66,84.99,194.58,-2.89,7.36,-1.33,-110.99
35.89,56.82,291.72,5.44,-6.09,-2.95,649.45
27.26,55.45,158.09,2.3,6.2,-4.44,1700.77
22.79,75.22,160.27,-2.74,-1.7,-5.31,499.39
46.92,62.05,75.22,-6.16,-6.45,8.24,1952.01
47.01,50.74,278.41,2.64,5.22,-4.1,978.61
38.99,85.55,283.05,7.75,5.24,2.96,1874.63
30.17,59.08,224.38,2.93,9.92,5.74,857.65
30.48,87.17,311.19,6.26,5.62,-9.56,-110.99
41.78,78.7,256.72,0.43,-7.09,-9.32,724.82
46.91,80.51,171.09,4.36,-3.55,-3.34,1768.6
46.61,58.06,309.42,7.92,-0.97,3.92,661.38
43.4,59.37,340.61,5.46,-7.47,-4.78,1338.69
39.26,70.85,162.01,8.2,5.76,-9.97,939.69
22.52,56.88,228.27,-1.38,0.53,-4.24,1883.34
24.85,62.22,247.5,8.08,8.89,-8.2,318.73
46.96,62.86,179.29,2.43,1.79,-5.61,857.31
38.19,56.39,323.54,7.4,0.46,-3.34,249.27
20.28,58.21,206.83,-9.21,-8.57,-7.44,1156.28
23.04,81.54,306.6,3.16,-7.01,4.13,805.8
39.91,56.69,284.2,6.96,6.99,-4.88,121.87
20.15,51.14,269.61,-6.52,9.81,3.22,1699.68
24.82,75.17,188.43,3.24,-1.7,1.98,751.03
36.46,89.04,194.14,6.5,6.2,7.96,987.26
40.76,63.25,159.47,-4.24,2.55,-8.24,815.03
39.56,54.75,198.14,-1.9,9.18,-5.71,977.31
26.73,72.82,219.09,1.39,-5.24,7.3,32.65
41.37,86.25,316.63,0.38,0.9,6.44,1630.92
27.12,81.36,223.28,-9.22,-1.82,-6.16,664.62
29.76,74.9,300.92,-8.03,0.83,-7.85,1448.92
42.39,62.6,237.89,-7.99,-4.62,7.12,129.77
39.49,71.68,306.97,-4.75,-0.05,-6.44,1047.65
45.48,53.65,345.25,-5.08,2.5,7.42,1817.58
39.73,77.16,197.97,4.84,-8.38,9.22,796.5
37.05,79.0,322.47,1.45,4.86,-5.58,394.52
22.81,88.6,274.36,5.28,4.13,6.81,198.16
31.03,60.42,313.46,-8.6,7.61,-1.52,1718.18
27.96,50.74,280.32,-0.3,-1.48,5.78,477.61
27.32,71.82,234.79,-3.52,-8.77,-1.85,1950.14
49.19,78.27,195.61,7.0,-0.77,-8.59,495.65
31.79,81.62,164.01,4.16,-7.25,4.25,961.98
46.76,57.75,257.1,7.39,2.95,-6.99,915.99
38.93,60.47,348.07,-9.07,-9.06,8.54,124.02
43.84,70.5,297.61,4.42,-2.52,-1.65,1063.68
35.08,63.22,215.47,0.8,-8.34,-8.36,1345.28
37.31,84.42,315.44,6.5,-9.93,-5.43,1484.27
34.78,68.95,303.8,0.14,9.21,7.25,1045.18
25.86,81.98,206.33,0.8,9.92,-3.58,1625.17
41.67,73.22,152.86,-8.96,1.11,7.13,1504.2
28.42,80.92,173.63,3.37,-5.22,-6.55,387.95
20.73,63.31,325.46,-4.54,8.22,-0.64,803.2
53.04,83.26,317.31,-9.61,8.46,7.57,285.16
25.31,60.98,209.04,-8.67,7.09,-9.03,266.85
48.21,71.84,207.04,9.15,0.89,-3.91,1424.25
48.62,58.56,308.57,-3.08,-8.51,8.2,1060.92
47.45,69.02,337.55,7.36,-8.23,1.93,1201.9
31.1,62.73,305.83,9.19,7.93,4.32,1464.37
20.46,60.67,271.12,8.87,7.52,6.84,554.47
47.85,88.68,198.53,7.63,-1.31,0.47,802.72
32.85,56.4,255.15,4.81,-0.56,9.53,1213.61
49.0,81.49,196.7,-4.22,2.88,2.78,193.26
48.91,89.37,311.6,-6.97,6.14,3.71,1666.11
45.59,50.8,227.39,2.79,4.63,-6.94,686.9
28.83,77.96,316.74,-0.24,2.31,8.78,1317.51
31.55,60.12,226.32,-8.03,-5.37,5.92,1991.13
45.53,51.62,314.83,3.55,-4.75,-4.92,950.72
29.51,66.12,216.66,1.26,4.48,1.6,430.1
25.08,87.41,238.03,7.26,6.05,-2.47,432.87
36.7,50.47,273.1,2.18,-7.68,3.21,120.75
48.08,73.52,164.06,1.48,-6.25,9.87,1534.16
53.04,70.06,339.64,-1.18,3.61,-9.09,586.86
37.1,84.94,264.72,-0.74,-2.22,9.05,345.45
22.92,53.36,251.56,9.09,1.27,-8.55,1427.39
38.45,77.26,317.88,-7.23,2.3,-0.78,618.27
49.7,77.2,323.15,-1.08,5.52,-0.36,1200.94
24.2,76.76,254.45,3.12,6.11,-4.63,835.65
35.55,87.69,335.45,-1.34,-4.4,1.33,668.31
46.32,82.92,162.95,-4.34,0.83,6.68,978.86
42.22,51.68,172.65,-4.25,-7.53,-4.12,627.59
40.91,68.84,269.36,-5.33,6.84,-8.59,1741.13
41.07,65.92,220.81,-3.12,6.91,2.65,146.08
30.78,62.41,242.85,7.43,-4.01,5.03,60.31
28.81,68.05,215.62,0.1,-6.79,9.09,812.79
44.28,65.37,230.95,-5.2,-8.6,-6.81,345.69
44.3,67.29,314.53,-2.31,1.5,8.03,1487.45
46.01,89.17,268.7,-7.88,-8.17,-0.36,706.87
47.4,53.55,349.47,8.08,3.61,-5.28,522.88
35.34,86.89,307.38,-1.84,3.56,9.25,718.76
35.05,69.21,204.73,9.61,2.28,-5.23,438.97
43.95,74.95,202.87,-3.05,7.53,4.67,599.3
39.5,83.21,217.18,6.73,-2.43,5.7,1135.97
41.06,64.42,318.65,-4.87,8.05,-1.39,1728.07
43.87,67.22,155.46,-8.48,-9.26,3.8,741.74
46.7,66.38,196.04,-9.37,-7.74,1.45,641.34
30.14,64.99,330.98,2.12,-1.76,-6.16,1563.58
31.27,87.02,277.98,-3.77,1.88,5.2,44.85
22.82,83.16,195.37,-1.13,-9.35,8.56,604.15
37.35,54.36,193.83,6.37,1.35,-0.23,904.34
21.08,54.32,322.52,-5.04,-3.85,9.89,1201.32
33.97,67.11,328.75,-3.83,7.74,-1.44,312.12
36.28,53.95,201.23,6.91,0.67,-0.41,865.71
28.6,74.76,234.1,-0.14,1.76,3.48,1132.6
37.72,55.75,316.92,6.55,8.91,-6.28,1020.5
20.92,70.89,304.2,-2.51,5.28,8.04,1149.1
21.12,50.29,312.78,-2.03,-1.23,6.03,1324.8
44.68,62.66,253.68,-6.66,-0.46,7.45,758.75
30.81,77.09,332.31,8.33,2.96,2.19,127.27
23.81,69.36,215.19,7.94,-6.0,7.67,111.11
35.67,89.13,181.33,9.68,-8.23,3.6,1717.43
53.04,84.96,291.75,-1.95,-3.78,0.23,1354.84
26.47,95.86,257.87,6.37,5.57,8.64,1528.37
38.69,51.82,320.92,-1.7,-4.85,-1.21,1857.61
22.56,83.83,166.23,-0.91,-7.38,0.01,1501.09
21.55,86.45,318.74,6.6,-5.62,-6.61,1384.6
35.94,82.83,208.66,-6.45,3.58,8.95,1311.52
36.22,55.12,280.97,-5.59,2.28,-5.58,517.15
39.12,89.92,158.03,-3.71,3.77,-5.97,1914.59
41.78,60.34,271.92,5.76,-3.56,-7.98,1084.09
49.28,78.97,293.45,-2.55,8.02,-0.93,444.15
35.49,86.32,223.75,-2.84,-0.96,-4.53,419.65
29.69,59.43,193.08,9.98,0.27,4.82,1630.53
43.86,86.33,257.53,-2.32,8.98,-3.85,500.42
28.12,62.38,316.64,-5.04,9.59,4.42,82.85
33.17,89.06,214.71,2.46,3.23,-6.08,856.82
22.35,61.25,200.49,6.04,8.9,-5.4,1634.7
20.76,88.14,205.79,-8.61,0.83,6.12,828.88
48.88,52.14,339.83,2.38,-3.85,-2.58,1607.1
45.08,78.37,221.86,-9.29,-3.7,-7.76,1654.42
40.88,71.28,150.72,0.53,1.18,9.23,1715.41
32.27,69.12,306.34,-4.86,2.1,-6.45,1177.8
25.2,58.94,289.85,-3.87,-1.21,-7.0,1398.94
24.69,78.22,497.15,-0.66,7.68,-2.83,523.72
27.51,57.63,346.98,8.54,-1.47,-8.09,199.4
36.48,72.11,271.61,4.21,-4.53,-6.89,1065.56
41.44,60.13,250.16,8.74,-9.84,6.93,21.16
39.81,88.22,226.44,3.2,9.41,-6.57,931.48
28.4,51.15,329.73,-9.86,6.49,-7.77,204.19
48.65,57.99,198.79,-4.69,2.31,7.6,216.84
42.14,59.69,207.15,8.12,6.61,-1.12,1741.57
36.63,66.56,174.48,2.87,6.21,-6.86,1281.04
38.35,59.31,301.82,9.63,8.64,1.63,1290.47
32.59,69.65,269.11,-6.88,-2.28,-9.17,808.95
27.43,84.9,271.81,-4.07,1.1,-1.45,826.51
30.68,78.48,193.69,-2.75,-8.03,1.81,606.22
42.74,73.2,280.23,-3.47,9.31,9.14,868.72
20.43,53.56,303.09,-4.96,9.7,-3.47,1174.25
23.48,77.76,221.58,-1.13,5.78,5.3,373.18
21.38,56.66,310.27,2.85,-0.92,-7.35,523.37
21.22,81.45,219.76,-3.77,-0.07,-1.33,989.51
45.66,60.0,301.63,-8.41,-1.29,-5.54,769.56
41.11,66.68,156.75,4.17,-4.13,-0.15,1638.97
34.23,64.02,260.23,-0.82,0.56,-1.66,1643.37
22.94,84.35,343.91,1.13,-8.93,9.6,671.98
34.75,55.06,346.25,-0.89,9.84,8.35,901.59
34.2,72.63,206.35,7.81,-1.52,1.64,1953.17
25.2,55.68,238.28,1.17,8.55,-6.47,1654.95
33.02,78.19,162.6,8.47,4.49,1.14,431.32
31.96,86.2,324.67,0.21,-4.2,5.84,560.46
38.48,67.38,263.71,-4.15,-5.56,-9.24,166.96
39.05,69.52,227.02,-2.89,9.91,-1.32,1355.65
21.36,87.1,172.55,0.44,5.44,-9.15,633.79
31.24,70.84,339.35,0.6,-5.01,-5.12,1073.19
38.78,69.5,256.04,3.75,-8.65,-8.16,1536.28
35.09,73.13,206.59,-5.51,3.94,9.21,1672.07
45.69,77.57,220.04,3.18,-3.94,-6.62,650.73
39.76,54.28,204.14,5.57,-5.57,-7.0,474.49
24.89,82.84,270.36,3.53,4.7,9.44,1697.07
22.12,67.42,335.99,-0.36,3.59,0.32,762.54
39.27,52.89,321.34,9.83,-0.37,5.16,1644.0
20.8,81.45,242.08,-1.9,8.85,-3.45,299.53
37.57,65.08,315.3,-7.87,3.59,0.66,1823.82
48.21,54.01,234.62,6.43,7.87,-9.86,966.25
37.26,75.35,200.46,-5.76,-6.19,-1.82,340.27
31.65,85.21,346.68,4.27,-4.07,1.1,1070.14
39.3,85.51,210.78,-6.42,-7.91,0.29,1740.03
33.75,88.31,214.74,-9.66,-3.91,-1.88,778.65
36.37,84.71,347.94,-6.8,9.44,5.76,356.12
48.24,50.09,176.79,-2.46,9.26,0.03,1153.11
31.58,65.21,302.11,-7.87,5.21,2.72,1668.93
48.84,82.74,337.16,8.78,3.4,-9.76,242.71
47.16,64.65,252.36,5.29,5.62,7.23,82.82
25.87,74.06,150.5,-3.55,-9.27,-5.08,112.59
22.08,74.25,225.01,6.35,-9.93,-0.36,460.98
23.02,64.6,172.31,6.82,0.03,-2.96,14.6
20.55,86.18,233.24,-1.59,1.98,7.84,857.35
22.83,70.13,308.01,7.35,-4.69,8.01,1395.5
40.49,68.59,237.74,0.52,-5.93,-5.51,1420.92
22.14,89.9,236.39,-0.59,-4.52,5.05,1273.42
29.57,69.74,261.36,4.37,2.47,-7.94,592.4
45.35,57.14,266.34,-5.72,-7.08,-9.4,1471.88
20.7,70.52,321.26,5.79,4.41,6.73,1152.98
44.43,82.56,211.67,-1.41,-1.55,-7.38,1722.36
28.46,81.07,314.33,-7.45,-2.93,-6.9,956.01
23.54,81.54,263.19,-7.61,6.14,2.13,360.29
40.9,78.32,210.11,-6.7,0.12,6.34,1269.31
38.87,60.17,209.03,7.81,-2.43,-6.21,301.57
46.32,84.48,222.23,9.82,7.56,-7.72,1926.29
42.05,85.74,274.54,-2.86,-2.63,-8.45,1406.57
44.1,57.77,196.16,-4.16,7.18,-9.5,1512.64
28.46,55.22,334.07,-5.62,0.08,-7.67,1358.54
25.32,89.02,264.98,6.48,-5.84,8.85,195.12
42.52,84.73,334.0,-5.82,2.26,-8.09,930.6
44.21,85.73,159.28,8.48,-4.29,1.95,2723.02
49.72,85.46,218.52,3.35,-7.06,8.42,458.71
32.38,71.67,154.56,7.94,-8.27,2.56,1359.0
31.16,75.86,204.45,1.08,-5.17,-9.35,1639.77
43.29,71.81,322.4,3.81,4.73,1.93,549.86
30.22,52.05,157.32,2.39,6.76,8.06,399.21
47.92,79.82,237.23,6.62,7.23,-3.55,1766.32
45.75,70.21,173.51,6.72,-4.6,-3.73,10.39
32.87,75.91,233.37,1.8,3.22,-5.02,511.49
42.53,70.11,317.77,2.65,-5.39,0.11,813.46
42.64,69.67,274.61,8.44,2.46,-5.24,1344.52
23.09,56.87,297.35,8.6,7.74,4.48,1994.13
47.08,61.15,219.82,3.28,-9.18,2.9,741.64
35.16,56.35,338.88,-9.84,9.7,-1.98,1897.62
44.79,57.83,291.85,-7.91,6.54,4.45,733.55
29.6,88.92,234.36,7.16,5.23,-8.03,1391.06
46.87,56.12,235.29,-8.31,3.83,4.99,330.73
31.68,60.77,333.74,-5.73,5.41,2.06,920.82
20.33,73.62,265.28,-5.39,9.89,2.6,1742.55
47.16,74.41,291.28,2.0,5.4,-8.71,639.99
22.74,56.16,233.41,1.53,-2.97,2.36,210.41
29.58,81.75,194.74,-4.21,2.28,-0.12,1045.43
48.5,81.41,294.71,-5.85,-3.26,-0.28,879.07
48.52,59.49,271.56,5.29,9.4,-3.56,459.08
37.2,61.55,250.27,8.71,8.0,-9.85,1811.23
38.96,87.52,274.8,-8.94,1.35,-1.55,1203.37
33.45,83.03,191.66,-7.34,5.63,-1.98,694.35
28.8,77.91,308.79,2.84,8.19,-1.54,1992.26
29.86,53.29,339.63,6.09,-5.13,2.24,275.13
40.18,44.56,328.22,5.82,1.59,-4.0,1695.9
42.57,72.37,214.29,4.39,-0.37,-4.61,461.25
18.85,57.5,231.2,7.75,5.43,-0.04,479.01
43.69,67.93,311.68,-5.65,-2.42,1.85,996.32
22.74,74.04,269.02,-7.85,4.18,1.35,1323.88
34.83,63.1,259.58,2.31,-1.94,7.63,1380.93
21.73,81.24,335.33,6.45,-7.78,5.38,44.26
36.49,83.62,257.2,1.64,-7.86,-8.96,573.72
33.25,62.94,252.99,9.26,-7.62,1.27,1321.21
46.63,83.55,158.4,5.91,-9.35,-1.64,1779.47
30.53,54.14,163.88,4.02,0.66,-2.78,1339.78
23.51,83.51,151.48,-8.79,3.44,9.16,531.76
24.29,56.11,332.65,-7.85,-7.47,-0.86,1015.55
42.85,53.32,231.68,5.7,2.24,4.39,1295.15
38.55,75.67,243.71,-6.04,1.95,9.34,270.68
23.03,68.88,319.08,-9.42,-7.06,-6.98,1089.81
22.52,86.32,271.85,8.22,-1.92,-8.91,943.33
41.03,64.53,271.9,7.82,5.1,-3.73,673.3
22.18,61.49,209.31,-8.8,10.98,13.83,1247.08
44.66,70.03,316.78,5.6,-7.06,-7.66,1272.43
41.19,68.24,183.17,-9.04,9.92,9.83,1942.94
22.44,63.78,160.63,-4.3,4.67,9.2,856.61
22.55,77.75,188.32,2.47,-0.72,3.83,1062.53
49.6,80.38,203.55,5.26,2.6,5.06,315.01
31.23,84.12,206.46,-9.79,6.92,-7.19,1096.72
31.12,88.91,284.1,-3.48,6.85,1.9,72.17
44.38,60.67,193.56,-5.71,-3.51,-6.91,299.76
48.42,78.64,285.33,9.98,-0.17,-2.43,342.49
49.58,65.77,168.23,3.42,2.76,-3.09,1265.28
42.6,77.08,179.44,-1.89,-8.56,2.28,1134.59
31.29,69.04,251.76,-8.49,8.92,-8.41,1596.07
22.51,89.75,334.38,1.97,-1.35,-7.93,928.8
43.31,79.16,321.91,2.83,-2.58,2.2,949.71
36.75,88.1,343.75,6.33,8.14,2.72,323.11
32.73,83.4,280.1,-4.23,-7.63,-3.2,1485.4
47.19,86.12,285.16,9.63,-9.21,-7.06,7.31
23.34,82.58,275.0,8.03,-2.25,14.96,849.78
34.78,68.37,274.56,-4.08,-2.3,-8.94,376.65
20.34,60.07,179.42,-3.03,5.29,4.35,1542.02
34.06,64.81,258.75,0.39,-8.63,-7.2,1346.78
21.69,50.81,227.21,8.73,-2.32,2.75,1413.54
23.56,70.96,238.51,4.7,-5.29,3.27,297.16
23.53,70.2,254.72,1.54,4.79,6.09,2723.02
39.48,71.01,175.68,-6.74,-5.46,-2.1,1381.79
42.38,88.96,221.9,-7.01,-0.84,-9.56,5.27
